No,可否,祭りの名称,*,開催日１,開始時間1,終了時間1,開催日２,開始時間2,終了時間2,開催日３,開始時間3,終了時間3,備考,*,会場名称,会場住所,会場住所コード,会場緯度,会場経度,*,<踊り>,<歌唱>,<太鼓>,<演奏>,<出店・屋台>,<花火>,<その他>,*,目玉イベント1,目玉イベント2,*,一般参加,一般条件,*,url,主催団体1,主催団体2,主催団体3,*
426,1,東寺山エステ・スクエア親睦夏祭り,1,7/25/15,17:00,20:00,,,,,,,,1,東寺山第３公園,千葉市若葉区東寺山町423-1,121040047,35.629178,140.127562,1,0,1,0,1,1,0,会長バンドの演奏,1,日本一うまい生ビール、千葉市一盛りのいい焼きそば,秘伝のタレ焼トリ,1,1,,1,,東寺山エステ・スクエア自治会,,,1
428,1,桜木小地区連合会盆踊り,1,8/8/15,17:30,20:30,,,,,,,雨天は8/9に順延,1,桜木小学校,千葉市若葉区桜木3丁目26－1,121040024,35.621132,140.159134,1,1,0,0,0,1,0,小学生の踊り,1,小学生のよさこいソーラン,民踊,1,1,,1,,桜木小地区町内自治会連合会,桜木小地区スポーツ振興会,桜木小地区スポーツ連絡協議会,1
432,1,桜木連合盆踊,1,8/8/15,17:30,20:30,,,,,,,,1,桜木小学校校庭,千葉市若葉区桜木3丁目26－1,121040024,35.621132,140.159134,1,1,0,1,0,1,0,,1,子供によるヨサコイソウラン 17:30～18:00,,1,1,,1,,桜木町内自治会連合会,,,1
433,1,はづき祭,1,8/1/15,10:00,12:00,8/1/15,18:00,21:00,8/2/15,18:00,21:00,,1,加曽利公園,千葉市若葉区加曽利町1294番1他,121040015,35.62439,140.164795,1,1,0,1,0,1,0,,1,町内を子供みこし 8月1日10:00～12:00,,1,1,,1,,若葉はづき会,,,1
501,1,2015とけサマーフェスティバル,1,8/22/15,09:00,21:00,8/23/15,09:00,21:00,,,,,1,創造の杜公園,千葉市緑区あすみが丘5丁目41,121050001,35.524929,140.257233,1,1,1,1,1,1,1,,1,,,,1,,1,,土気商工会議所青年部,協賛：土気地区各自治会,,1
502,1,越智町夏祭り,1,8/14/15,18:00,21:30,,,,,,,,1,野馬の里 向かい空地,千葉市緑区越智町541,121050009,35.530224,140.244339,1,1,0,1,0,1,1,,1,打ち上げ花火,,1,1,,1,,越智町内会,,,1
503,1,古市場盆踊大会,1,8/1/15,18:00,21:30,8/2/15,18:00,21:30,,,,,1,古市場公園,千葉市緑区古市場町474-277,121050030,35.549124,140.147081,1,1,0,0,0,1,0,,1,抽選会,,1,1,,1,,古市場町内会,古市場みどり自治会,古市場第一・第二・第三自治会,1
505,1,誉田町二丁目秋季祭礼,1,10/11/15,09:00,20:00,10/12/15,09:00,20:00,,,,,1,八幡神社～近隣周辺道路,千葉市緑区誉田町2丁目21,121050032,35.549347,140.211014,1,1,1,0,0,1,0,お神輿渡御、山車引廻し、お囃子、カラオケ/演芸大会、くじ引き大会、文化展示会,1,お囃子山車巡行、カラオケ演芸大会（両日）,大人・子ども御輿、山車巡行（10/12）,1,1,大人みこし担手募集（事前申込要）,1,,誉田町二丁目町内会,八幡神社氏子総代会,,1
508,1,オータムフェスティバル,1,11/3/15,09:00,16:00,,,,,,,,1,のりくら公園,千葉市緑区おゆみ野4丁目31,121050011,35.557381,140.180361,1,0,0,0,0,1,0,,1,,,,1,,1,,おゆみ野4丁目自治会,,,1
509,1,誉田団地自治会夏祭り,1,7/25/15,18:00,21:00,,,,,,,,1,大膳野公園,千葉市緑区大膳野町4-368,121050021,35.542731,140.1999,1,1,0,1,0,1,0,,1,,,,1,,1,,誉田団地自治会,,,1
511,1,おゆみ野夏祭り,1,8/1/15,16:00,21:00,,,,,,,,1,泉谷小学校,千葉市緑区おゆみ野中央4丁目3,121050013,35.554535,140.174215,1,1,0,1,1,1,0,,1,ビンゴ大会,,1,1,,1,,おゆみ野地区連協,,,1
512,1,さくらさくさくウォークラリー2015,1,4/5/15,09:30,13:00,,,,,,,,1,鎌取コミュニティセンター,千葉市緑区おゆみ野3丁目15-2,121050011,35.560043,140.175792,1,0,0,0,0,0,0,ウォークラリー,1,,,,1,,1,,さくらさくさくウォークラリー実行委員会,,,1
517,1,あきのみち公園みなみまつり,1,7/25/15,16:00,19:00,,,,,,,雨天は7/26に順延,1,あきのみち公園,千葉市緑区おゆみ野南6丁目1,121050014,35.545361,140.179679,1,1,0,1,0,1,1,,1,,,,1,,1,,あきのみち公園みなみまつり実行委員会,,,1
217,5,ルネ稲毛夏祭り,1,10/4/15,11:00,15:00,,,,,,,,1,宮野木西公園,千葉市花見川区宮野木台1丁目7,121020030,35.654921,140.092073,1,,,,,,,,9,,,9,,,9,,,,,9
504,5,鎌取町盆踊り大会,1,8/8/15,19:00,21:00,8/9/15,19:00,21:00,,,,,1,鎌取第１公園,千葉市緑区おゆみ野2丁目1,121050011,35.56644,140.174925,1,,,,,,,,9,,,9,,,9,,,,,9
